tender_id,department,tender_category,estimated_value,contract_amount,price_ratio,bid_count,winning_vendor_id,vendor_age_days,has_shared_relationship,has_unusual_bid_pattern,score,review_priority,review_candidate,signals,explanation
TEN0168,Transport,IT Services,9516000,13794000,1.45,5,VEN0111,188,False,False,50,High,True,high_price;new_vendor,"Contract amount is 1.45x the estimated value, above the 1.25x review threshold. Winning vendor VEN0111 was registered 188 days before the tender date, within the 730-day recent-registration window."
TEN0075,Transport,Office Supplies,684000,939000,1.373,2,VEN0099,-313,False,False,45,Medium,True,high_price;low_competition,"Contract amount is 1.37x the estimated value, above the 1.25x review threshold. Only 2 bids were submitted for this tender."
TEN0027,Transport,Consulting,6072000,8951000,1.474,2,VEN0092,4848,False,False,45,Medium,True,high_price;low_competition,"Contract amount is 1.47x the estimated value, above the 1.25x review threshold. Only 2 bids were submitted for this tender."
TEN0013,IT & Digital Services,Medical Supplies,1889000,2845000,1.506,8,VEN0047,-856,False,True,45,Medium,True,high_price;unusual_bid_pattern,"Contract amount is 1.51x the estimated value, above the 1.25x review threshold. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0475,IT & Digital Services,Office Supplies,1145000,1628000,1.422,2,VEN0015,3355,False,False,45,Medium,True,high_price;low_competition,"Contract amount is 1.42x the estimated value, above the 1.25x review threshold. Only 2 bids were submitted for this tender."
TEN0307,Transport,Construction,29680000,44001000,1.483,6,VEN0036,3428,False,True,45,Medium,True,high_price;unusual_bid_pattern,"Contract amount is 1.48x the estimated value, above the 1.25x review threshold. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0249,Transport,Office Supplies,1048000,1466000,1.399,2,VEN0049,3544,False,False,45,Medium,True,high_price;low_competition,"Contract amount is 1.40x the estimated value, above the 1.25x review threshold. Only 2 bids were submitted for this tender."
TEN0116,Education,Medical Supplies,527000,711000,1.349,2,VEN0030,3688,False,False,45,Medium,True,high_price;low_competition,"Contract amount is 1.35x the estimated value, above the 1.25x review threshold. Only 2 bids were submitted for this tender."
TEN0115,IT & Digital Services,Construction,25061000,37787000,1.508,2,VEN0102,4065,False,False,45,Medium,True,high_price;low_competition,"Contract amount is 1.51x the estimated value, above the 1.25x review threshold. Only 2 bids were submitted for this tender."
TEN0129,Health,Consulting,5078000,3808000,0.75,8,VEN0064,295,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0064 was registered 295 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0064 shares a registered address or contact group with at least one other vendor."
TEN0089,Transport,Office Supplies,1950000,2258000,1.158,5,VEN0108,96,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0108 was registered 96 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0108 shares a registered address or contact group with at least one other vendor."
TEN0423,Public Works,Consulting,977000,821000,0.84,3,VEN0064,75,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0064 was registered 75 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0064 shares a registered address or contact group with at least one other vendor."
TEN0068,Education,Office Supplies,1969000,1719000,0.873,6,VEN0098,465,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0098 was registered 465 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0098 shares a registered address or contact group with at least one other vendor."
TEN0226,Education,IT Services,3021000,2886000,0.955,4,VEN0096,699,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0096 was registered 699 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0096 shares a registered address or contact group with at least one other vendor."
TEN0250,Education,Office Supplies,1070000,802000,0.75,5,VEN0108,206,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0108 was registered 206 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0108 shares a registered address or contact group with at least one other vendor."
TEN0295,Transport,Office Supplies,1353000,1173000,0.867,7,VEN0013,544,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0013 was registered 544 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0013 shares a registered address or contact group with at least one other vendor."
TEN0166,IT & Digital Services,Medical Supplies,1145000,859000,0.75,3,VEN0011,478,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0011 was registered 478 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0011 shares a registered address or contact group with at least one other vendor."
TEN0479,Public Works,Construction,16921000,13092000,0.774,3,VEN0007,352,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0007 was registered 352 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0007 shares a registered address or contact group with at least one other vendor."
TEN0201,IT & Digital Services,Office Supplies,1858000,1946000,1.047,6,VEN0108,477,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0108 was registered 477 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0108 shares a registered address or contact group with at least one other vendor."
TEN0309,Transport,Office Supplies,1406000,1233000,0.877,5,VEN0013,455,True,False,40,Medium,True,new_vendor;shared_relationship,"Winning vendor VEN0013 was registered 455 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0013 shares a registered address or contact group with at least one other vendor."
TEN0052,Public Works,Office Supplies,211000,168000,0.796,2,VEN0098,1520,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0098 shares a registered address or contact group with at least one other vendor.
TEN0059,Public Works,IT Services,13923000,12179000,0.875,5,VEN0096,1221,True,True,35,Medium,True,shared_relationship;unusual_bid_pattern,"Winning vendor VEN0096 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0025,Public Works,Consulting,4706000,4577000,0.973,2,VEN0019,3144,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0019 shares a registered address or contact group with at least one other vendor.
TEN0400,IT & Digital Services,Construction,17253000,12940000,0.75,8,VEN0010,542,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0010 was registered 542 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0402,Transport,Construction,24061000,20683000,0.86,5,VEN0100,26,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0100 was registered 26 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0398,Public Works,Medical Supplies,7192000,6201000,0.862,2,VEN0057,1488,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0057 shares a registered address or contact group with at least one other vendor.
TEN0111,Public Works,IT Services,5590000,5115000,0.915,2,VEN0077,417,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0077 was registered 417 days before the tender date, within the 730-day recent-registration window."
TEN0316,Transport,Medical Supplies,3315000,2952000,0.89,8,VEN0079,4609,True,True,35,Medium,True,shared_relationship;unusual_bid_pattern,"Winning vendor VEN0079 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0113,Health,Office Supplies,379000,284000,0.749,8,VEN0016,701,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0016 was registered 701 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0345,Health,Medical Supplies,590000,493000,0.836,2,VEN0034,174,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0034 was registered 174 days before the tender date, within the 730-day recent-registration window."
TEN0132,Transport,Office Supplies,1780000,1650000,0.927,7,VEN0014,1744,True,True,35,Medium,True,shared_relationship;unusual_bid_pattern,"Winning vendor VEN0014 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0304,IT & Digital Services,Medical Supplies,2242000,1895000,0.845,8,VEN0011,-597,True,True,35,Medium,True,shared_relationship;unusual_bid_pattern,"Winning vendor VEN0011 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0442,Public Works,Consulting,493000,482000,0.978,2,VEN0090,476,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0090 was registered 476 days before the tender date, within the 730-day recent-registration window."
TEN0444,IT & Digital Services,IT Services,8749000,7222000,0.825,5,VEN0053,660,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0053 was registered 660 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0064,Education,Office Supplies,787000,609000,0.774,6,VEN0098,1478,True,True,35,Medium,True,shared_relationship;unusual_bid_pattern,"Winning vendor VEN0098 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0464,IT & Digital Services,Construction,2277000,2063000,0.906,5,VEN0010,105,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0010 was registered 105 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0051,Public Works,Construction,16776000,12835000,0.765,3,VEN0083,296,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0083 was registered 296 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0046,Education,Office Supplies,603000,552000,0.915,2,VEN0099,466,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0099 was registered 466 days before the tender date, within the 730-day recent-registration window."
TEN0490,IT & Digital Services,Medical Supplies,3461000,3647000,1.054,2,VEN0079,4588,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0079 shares a registered address or contact group with at least one other vendor.
TEN0062,Health,IT Services,8717000,8131000,0.933,2,VEN0111,147,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0111 was registered 147 days before the tender date, within the 730-day recent-registration window."
TEN0405,Transport,IT Services,7621000,7618000,1.0,2,VEN0111,428,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0111 was registered 428 days before the tender date, within the 730-day recent-registration window."
TEN0406,Transport,Consulting,2695000,2707000,1.004,7,VEN0046,381,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0046 was registered 381 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0079,Education,Consulting,7552000,6833000,0.905,7,VEN0090,419,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0090 was registered 419 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0417,Transport,Office Supplies,1835000,1942000,1.058,2,VEN0075,126,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0075 was registered 126 days before the tender date, within the 730-day recent-registration window."
TEN0393,Public Works,IT Services,14782000,13890000,0.94,2,VEN0111,289,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0111 was registered 289 days before the tender date, within the 730-day recent-registration window."
TEN0080,Education,Consulting,5570000,4892000,0.878,7,VEN0019,2302,True,True,35,Medium,True,shared_relationship;unusual_bid_pattern,"Winning vendor VEN0019 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0429,Health,Construction,10089000,9458000,0.937,2,VEN0117,4975,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0117 shares a registered address or contact group with at least one other vendor.
TEN0038,IT & Digital Services,Medical Supplies,8376000,6554000,0.782,8,VEN0004,212,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0004 was registered 212 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0037,Public Works,Construction,5560000,4453000,0.801,2,VEN0083,594,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0083 was registered 594 days before the tender date, within the 730-day recent-registration window."
TEN0296,Health,Consulting,1589000,1424000,0.896,2,VEN0084,615,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0084 was registered 615 days before the tender date, within the 730-day recent-registration window."
TEN0173,Transport,IT Services,13133000,13022000,0.992,2,VEN0078,1496,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0078 shares a registered address or contact group with at least one other vendor.
TEN0134,Education,Medical Supplies,2700000,2638000,0.977,2,VEN0047,85,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0047 was registered 85 days before the tender date, within the 730-day recent-registration window."
TEN0286,Public Works,Consulting,2313000,2603000,1.125,2,VEN0046,620,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0046 was registered 620 days before the tender date, within the 730-day recent-registration window."
TEN0269,Education,Consulting,5419000,5365000,0.99,2,VEN0028,331,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0028 was registered 331 days before the tender date, within the 730-day recent-registration window."
TEN0265,Transport,Construction,44761000,40763000,0.911,4,VEN0010,42,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0010 was registered 42 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0349,Public Works,Construction,45511000,49519000,1.088,2,VEN0052,481,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0052 was registered 481 days before the tender date, within the 730-day recent-registration window."
TEN0383,IT & Digital Services,Construction,39112000,32968000,0.843,2,VEN0074,2344,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0074 shares a registered address or contact group with at least one other vendor.
TEN0106,Transport,Consulting,1991000,1852000,0.93,2,VEN0028,20,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0028 was registered 20 days before the tender date, within the 730-day recent-registration window."
TEN0482,Education,Construction,5256000,4946000,0.941,7,VEN0100,54,False,True,35,Medium,True,new_vendor;unusual_bid_pattern,"Winning vendor VEN0100 was registered 54 days before the tender date, within the 730-day recent-registration window. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0220,Education,Construction,34109000,32145000,0.942,2,VEN0033,1851,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0033 shares a registered address or contact group with at least one other vendor.
TEN0233,Education,Medical Supplies,4801000,4694000,0.978,2,VEN0004,350,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0004 was registered 350 days before the tender date, within the 730-day recent-registration window."
TEN0323,Health,Construction,20785000,17370000,0.836,2,VEN0033,1480,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0033 shares a registered address or contact group with at least one other vendor.
TEN0320,Transport,Medical Supplies,8776000,7135000,0.813,7,VEN0079,3962,True,True,35,Medium,True,shared_relationship;unusual_bid_pattern,"Winning vendor VEN0079 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0364,Health,Medical Supplies,8895000,10283000,1.156,2,VEN0034,117,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0034 was registered 117 days before the tender date, within the 730-day recent-registration window."
TEN0009,Education,IT Services,12863000,12842000,0.998,8,VEN0078,2063,True,True,35,Medium,True,shared_relationship;unusual_bid_pattern,"Winning vendor VEN0078 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0476,Transport,Medical Supplies,1022000,766000,0.75,2,VEN0029,2239,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0029 shares a registered address or contact group with at least one other vendor.
TEN0217,IT & Digital Services,Medical Supplies,632000,598000,0.946,2,VEN0113,567,False,False,35,Medium,True,low_competition;new_vendor,"Only 2 bids were submitted for this tender. Winning vendor VEN0113 was registered 567 days before the tender date, within the 730-day recent-registration window."
TEN0242,Transport,Consulting,7984000,7466000,0.935,2,VEN0064,946,True,False,35,Medium,True,low_competition;shared_relationship,Only 2 bids were submitted for this tender. Winning vendor VEN0064 shares a registered address or contact group with at least one other vendor.
TEN0438,Public Works,IT Services,12821000,20207000,1.576,3,VEN0044,5110,False,False,30,Medium,True,high_price,"Contract amount is 1.58x the estimated value, above the 1.25x review threshold."
TEN0450,Public Works,IT Services,11719000,17418000,1.486,8,VEN0066,2955,False,False,30,Medium,True,high_price,"Contract amount is 1.49x the estimated value, above the 1.25x review threshold."
TEN0436,Education,Office Supplies,259000,411000,1.587,4,VEN0080,1934,False,False,30,Medium,True,high_price,"Contract amount is 1.59x the estimated value, above the 1.25x review threshold."
TEN0354,Health,IT Services,14617000,21495000,1.471,3,VEN0068,-953,False,False,30,Medium,True,high_price,"Contract amount is 1.47x the estimated value, above the 1.25x review threshold."
TEN0315,IT & Digital Services,IT Services,4383000,6728000,1.535,4,VEN0066,1841,False,False,30,Medium,True,high_price,"Contract amount is 1.54x the estimated value, above the 1.25x review threshold."
TEN0463,Health,Office Supplies,1836000,2810000,1.531,4,VEN0059,757,False,False,30,Medium,True,high_price,"Contract amount is 1.53x the estimated value, above the 1.25x review threshold."
TEN0283,Public Works,Consulting,3600000,5283000,1.468,7,VEN0061,5079,False,False,30,Medium,True,high_price,"Contract amount is 1.47x the estimated value, above the 1.25x review threshold."
TEN0138,IT & Digital Services,Office Supplies,1226000,1836000,1.498,7,VEN0075,-646,False,False,30,Medium,True,high_price,"Contract amount is 1.50x the estimated value, above the 1.25x review threshold."
TEN0070,Education,IT Services,3331000,5004000,1.502,3,VEN0032,4431,False,False,30,Medium,True,high_price,"Contract amount is 1.50x the estimated value, above the 1.25x review threshold."
TEN0396,Public Works,Construction,3013000,2281000,0.757,5,VEN0074,1374,True,False,20,Low,False,shared_relationship,Winning vendor VEN0074 shares a registered address or contact group with at least one other vendor.
TEN0394,Education,Medical Supplies,9732000,7299000,0.75,4,VEN0054,4236,True,False,20,Low,False,shared_relationship,Winning vendor VEN0054 shares a registered address or contact group with at least one other vendor.
TEN0047,Transport,Office Supplies,1389000,1042000,0.75,4,VEN0085,3474,True,False,20,Low,False,shared_relationship,Winning vendor VEN0085 shares a registered address or contact group with at least one other vendor.
TEN0049,IT & Digital Services,Medical Supplies,6724000,5043000,0.75,3,VEN0004,99,False,False,20,Low,False,new_vendor,"Winning vendor VEN0004 was registered 99 days before the tender date, within the 730-day recent-registration window."
TEN0040,Education,Office Supplies,1092000,945000,0.865,7,VEN0098,1512,True,False,20,Low,False,shared_relationship,Winning vendor VEN0098 shares a registered address or contact group with at least one other vendor.
TEN0045,IT & Digital Services,Office Supplies,1809000,1619000,0.895,4,VEN0014,1473,True,False,20,Low,False,shared_relationship,Winning vendor VEN0014 shares a registered address or contact group with at least one other vendor.
TEN0447,Health,IT Services,10713000,10848000,1.013,5,VEN0096,2003,True,False,20,Low,False,shared_relationship,Winning vendor VEN0096 shares a registered address or contact group with at least one other vendor.
TEN0448,Transport,Construction,19742000,21859000,1.107,6,VEN0100,693,False,False,20,Low,False,new_vendor,"Winning vendor VEN0100 was registered 693 days before the tender date, within the 730-day recent-registration window."
TEN0449,IT & Digital Services,Medical Supplies,1734000,1348000,0.777,8,VEN0076,299,False,False,20,Low,False,new_vendor,"Winning vendor VEN0076 was registered 299 days before the tender date, within the 730-day recent-registration window."
TEN0452,Public Works,IT Services,14007000,13511000,0.965,4,VEN0077,409,False,False,20,Low,False,new_vendor,"Winning vendor VEN0077 was registered 409 days before the tender date, within the 730-day recent-registration window."
TEN0497,Public Works,Medical Supplies,2236000,1989000,0.89,3,VEN0065,157,False,False,20,Low,False,new_vendor,"Winning vendor VEN0065 was registered 157 days before the tender date, within the 730-day recent-registration window."
TEN0008,IT & Digital Services,Medical Supplies,9479000,7109000,0.75,7,VEN0054,4386,True,False,20,Low,False,shared_relationship,Winning vendor VEN0054 shares a registered address or contact group with at least one other vendor.
TEN0081,Health,Construction,11191000,9300000,0.831,6,VEN0083,278,False,False,20,Low,False,new_vendor,"Winning vendor VEN0083 was registered 278 days before the tender date, within the 730-day recent-registration window."
TEN0414,Education,Office Supplies,1358000,1183000,0.871,7,VEN0051,479,False,False,20,Low,False,new_vendor,"Winning vendor VEN0051 was registered 479 days before the tender date, within the 730-day recent-registration window."
TEN0430,Education,Construction,32791000,29224000,0.891,7,VEN0120,86,False,False,20,Low,False,new_vendor,"Winning vendor VEN0120 was registered 86 days before the tender date, within the 730-day recent-registration window."
TEN0431,Health,Construction,47009000,39403000,0.838,6,VEN0117,4313,True,False,20,Low,False,shared_relationship,Winning vendor VEN0117 shares a registered address or contact group with at least one other vendor.
TEN0072,Public Works,IT Services,4699000,4054000,0.863,8,VEN0096,1177,True,False,20,Low,False,shared_relationship,Winning vendor VEN0096 shares a registered address or contact group with at least one other vendor.
TEN0077,Public Works,Construction,28964000,26781000,0.925,5,VEN0033,2082,True,False,20,Low,False,shared_relationship,Winning vendor VEN0033 shares a registered address or contact group with at least one other vendor.
TEN0424,Public Works,Office Supplies,1452000,1199000,0.826,5,VEN0013,761,True,False,20,Low,False,shared_relationship,Winning vendor VEN0013 shares a registered address or contact group with at least one other vendor.
TEN0065,Transport,Medical Supplies,9627000,8066000,0.838,7,VEN0079,4421,True,False,20,Low,False,shared_relationship,Winning vendor VEN0079 shares a registered address or contact group with at least one other vendor.
TEN0058,Public Works,IT Services,13188000,12168000,0.923,7,VEN0096,1570,True,False,20,Low,False,shared_relationship,Winning vendor VEN0096 shares a registered address or contact group with at least one other vendor.
TEN0060,Health,IT Services,13787000,10648000,0.772,7,VEN0077,694,False,False,20,Low,False,new_vendor,"Winning vendor VEN0077 was registered 694 days before the tender date, within the 730-day recent-registration window."
TEN0427,Transport,IT Services,7884000,6002000,0.761,6,VEN0068,95,False,False,20,Low,False,new_vendor,"Winning vendor VEN0068 was registered 95 days before the tender date, within the 730-day recent-registration window."
TEN0426,Transport,IT Services,3450000,2981000,0.864,7,VEN0111,260,False,False,20,Low,False,new_vendor,"Winning vendor VEN0111 was registered 260 days before the tender date, within the 730-day recent-registration window."
TEN0428,IT & Digital Services,Office Supplies,1901000,1525000,0.802,4,VEN0107,370,False,False,20,Low,False,new_vendor,"Winning vendor VEN0107 was registered 370 days before the tender date, within the 730-day recent-registration window."
TEN0492,Health,Construction,30569000,23045000,0.754,4,VEN0117,4363,True,False,20,Low,False,shared_relationship,Winning vendor VEN0117 shares a registered address or contact group with at least one other vendor.
TEN0459,IT & Digital Services,Medical Supplies,9034000,9674000,1.071,6,VEN0114,189,False,False,20,Low,False,new_vendor,"Winning vendor VEN0114 was registered 189 days before the tender date, within the 730-day recent-registration window."
TEN0460,Public Works,IT Services,10965000,10624000,0.969,4,VEN0096,1493,True,False,20,Low,False,shared_relationship,Winning vendor VEN0096 shares a registered address or contact group with at least one other vendor.
TEN0032,Public Works,Office Supplies,726000,600000,0.826,3,VEN0075,17,False,False,20,Low,False,new_vendor,"Winning vendor VEN0075 was registered 17 days before the tender date, within the 730-day recent-registration window."
TEN0471,Health,Medical Supplies,2243000,1682000,0.75,7,VEN0027,2834,True,False,20,Low,False,shared_relationship,Winning vendor VEN0027 shares a registered address or contact group with at least one other vendor.
TEN0028,Health,Construction,36464000,28797000,0.79,6,VEN0074,2333,True,False,20,Low,False,shared_relationship,Winning vendor VEN0074 shares a registered address or contact group with at least one other vendor.
TEN0494,Public Works,Office Supplies,266000,252000,0.947,4,VEN0075,19,False,False,20,Low,False,new_vendor,"Winning vendor VEN0075 was registered 19 days before the tender date, within the 730-day recent-registration window."
TEN0455,Health,IT Services,5827000,5988000,1.028,6,VEN0078,1394,True,False,20,Low,False,shared_relationship,Winning vendor VEN0078 shares a registered address or contact group with at least one other vendor.
TEN0454,IT & Digital Services,Medical Supplies,7268000,5644000,0.777,6,VEN0031,82,False,False,20,Low,False,new_vendor,"Winning vendor VEN0031 was registered 82 days before the tender date, within the 730-day recent-registration window."
